Tissue,Gene,Degree,E_corr,SBM-Level-1,SBM-Level-2,SBM-Level-3,SBM-Level-4,SBM-Level-5,WGCNA
head,FBgn0259936,50,0.251802599,12,7,2,2,1,0
head,FBgn0259937,123,0.27090529,8,7,2,2,1,0
head,FBgn0259938,70,0.250359212,49,0,0,0,0,0
head,FBgn0259978,153,0.257301534,19,12,1,2,1,0
head,FBgn0259979,97,0.257235784,18,20,1,2,1,0
head,FBgn0259984,112,0.271989717,43,4,0,0,0,0
head,FBgn0259985,101,0.259712722,37,6,0,0,0,0
head,FBgn0259994,498,0.273810424,45,6,0,0,0,4
head,FBgn0260003,428,0.272726619,44,19,0,0,0,5
head,FBgn0260008,129,0.269626822,41,18,1,2,1,0
head,FBgn0260012,11,0.24187705,19,12,1,2,1,0
head,FBgn0260049,179,0.270032139,44,19,0,0,0,2
head,FBgn0260486,99,0.256281778,17,11,0,0,0,0
head,FBgn0260499,261,0.260988079,10,4,0,0,0,0
head,FBgn0260632,425,0.302888937,31,13,5,0,0,2
head,FBgn0260635,366,0.270130186,20,13,5,0,0,2
head,FBgn0260639,54,0.248343134,19,12,1,2,1,0
head,FBgn0260642,603,0.297879424,75,19,0,0,0,2
head,FBgn0260653,625,0.298861803,55,0,0,0,0,5
head,FBgn0260657,563,0.293776264,39,15,5,0,0,4
head,FBgn0260658,428,0.285059157,39,15,5,0,0,4
head,FBgn0260659,61,0.256273941,19,12,1,2,1,0
head,FBgn0260660,267,0.259970226,17,11,0,0,0,4
head,FBgn0260742,11,0.245522177,19,12,1,2,1,0
head,FBgn0260744,58,0.245992349,8,7,2,2,1,1
head,FBgn0260745,313,0.270166676,44,19,0,0,0,5
head,FBgn0260747,144,0.268252523,32,10,1,2,1,0
head,FBgn0260748,14,0.252083192,18,20,1,2,1,0
head,FBgn0260749,6,0.247496844,1,1,1,2,1,0
head,FBgn0260753,169,0.257666537,9,2,2,2,1,1
head,FBgn0260794,39,0.247895208,0,0,0,0,0,0
head,FBgn0260795,96,0.252055673,3,3,1,2,1,0
head,FBgn0260798,91,0.253929657,54,17,3,0,0,0
head,FBgn0260799,40,0.249505613,3,3,1,2,1,0
head,FBgn0260855,6,0.239250721,35,10,1,2,1,0
head,FBgn0260857,14,0.243800291,21,14,2,2,1,0
head,FBgn0260858,42,0.249483841,1,1,1,2,1,0
head,FBgn0260860,29,0.243749774,14,9,3,0,0,0
head,FBgn0260861,10,0.24996853,19,12,1,2,1,0
head,FBgn0260934,61,0.24757235,43,4,0,0,0,0
head,FBgn0260935,5,0.245326192,19,12,1,2,1,0
head,FBgn0260936,39,0.253123322,19,12,1,2,1,0
head,FBgn0260938,26,0.251369259,37,6,0,0,0,0
head,FBgn0260941,49,0.252290116,28,15,5,0,0,0
head,FBgn0260942,28,0.250445662,49,0,0,0,0,0
head,FBgn0260943,710,0.319631631,47,15,5,0,0,4
head,FBgn0260944,28,0.244178014,1,1,1,2,1,0
head,FBgn0260945,10,0.244889283,4,4,0,0,0,0
head,FBgn0260960,45,0.259325299,59,18,1,2,1,0
head,FBgn0260962,21,0.24611122,11,3,1,2,1,0
head,FBgn0260964,486,0.281896557,76,15,5,0,0,4
head,FBgn0260970,36,0.241080228,33,10,1,2,1,0
head,FBgn0260971,44,0.251394497,37,6,0,0,0,0
head,FBgn0260972,34,0.27181438,18,20,1,2,1,0
head,FBgn0260987,36,0.251746147,3,3,1,2,1,0
head,FBgn0260990,7,0.239736985,3,3,1,2,1,0
head,FBgn0260995,85,0.252321353,37,6,0,0,0,0
head,FBgn0261014,762,0.288867557,73,7,2,2,1,1
head,FBgn0261020,13,0.24075555,9,2,2,2,1,0
head,FBgn0261041,222,0.265125149,37,6,0,0,0,4
head,FBgn0261046,112,0.258653185,37,6,0,0,0,0
head,FBgn0261085,35,0.243028318,4,4,0,0,0,0
head,FBgn0261089,36,0.259515206,40,9,3,0,0,0
head,FBgn0261090,69,0.251415898,37,6,0,0,0,0
head,FBgn0261108,36,0.24455731,23,14,2,2,1,0
head,FBgn0261112,12,0.256201581,3,3,1,2,1,0
head,FBgn0261113,422,0.299238513,64,16,3,0,0,2
head,FBgn0261238,3,0.237664515,4,4,0,0,0,0
head,FBgn0261239,13,0.241539268,3,3,1,2,1,0
head,FBgn0261241,3,0.244717672,1,1,1,2,1,0
head,FBgn0261243,32,0.252680769,1,1,1,2,1,0
head,FBgn0261244,48,0.246380878,10,4,0,0,0,0
head,FBgn0261260,497,0.286222916,42,15,5,0,0,4
head,FBgn0261261,408,0.297181297,31,13,5,0,0,2
head,FBgn0261262,175,0.271449658,28,15,5,0,0,4
head,FBgn0261268,5,0.241552025,1,1,1,2,1,0
head,FBgn0261270,160,0.262701401,46,1,1,2,1,0
head,FBgn0261274,1,0.25637223,11,3,1,2,1,0
head,FBgn0261276,7,0.252261495,3,3,1,2,1,0
head,FBgn0261277,12,0.246221532,17,11,0,0,0,0
head,FBgn0261279,38,0.252231984,21,14,2,2,1,0
head,FBgn0261283,91,0.25558279,23,14,2,2,1,0
head,FBgn0261285,16,0.238510794,40,9,3,0,0,0
head,FBgn0261341,708,0.305742307,55,0,0,0,0,5
head,FBgn0261380,30,0.248652834,49,0,0,0,0,0
head,FBgn0261387,8,0.253822394,1,1,1,2,1,0
head,FBgn0261393,825,0.298187403,29,8,4,1,1,1
head,FBgn0261394,473,0.271475857,67,12,1,2,1,1
head,FBgn0261396,202,0.258916939,19,12,1,2,1,1
head,FBgn0261397,18,0.24899441,11,3,1,2,1,0
head,FBgn0261403,26,0.250010154,26,20,1,2,1,0
head,FBgn0261437,162,0.263614414,19,12,1,2,1,0
head,FBgn0261439,459,0.32801089,65,16,3,0,0,2
head,FBgn0261444,142,0.27231386,59,18,1,2,1,1
head,FBgn0261445,23,0.252222568,49,0,0,0,0,0
head,FBgn0261458,44,0.253489665,1,1,1,2,1,0
head,FBgn0261461,9,0.248632907,34,16,3,0,0,0
head,FBgn0261477,111,0.263824541,34,16,3,0,0,2
head,FBgn0261479,80,0.251902627,19,12,1,2,1,0
head,FBgn0261524,382,0.263131808,67,12,1,2,1,1
head,FBgn0261547,172,0.271520825,49,0,0,0,0,5
head,FBgn0261549,378,0.280957442,39,15,5,0,0,4
head,FBgn0261550,43,0.242701802,17,11,0,0,0,0
head,FBgn0261552,784,0.309918524,6,6,0,0,0,4
head,FBgn0261553,555,0.308658032,31,13,5,0,0,2
head,FBgn0261554,11,0.241728356,35,10,1,2,1,0
head,FBgn0261555,135,0.259666006,0,0,0,0,0,0
head,FBgn0261556,18,0.249503302,3,3,1,2,1,0
head,FBgn0261560,103,0.267361819,9,2,2,2,1,1
head,FBgn0261564,511,0.296612336,31,13,5,0,0,2
head,FBgn0261565,957,0.314969434,25,13,5,0,0,2
head,FBgn0261570,56,0.25073305,37,6,0,0,0,0
head,FBgn0261573,84,0.250686022,7,1,1,2,1,0
head,FBgn0261574,14,0.24925403,37,6,0,0,0,0
head,FBgn0261588,64,0.255554153,37,6,0,0,0,0
head,FBgn0261593,762,0.340142948,2,2,2,2,1,3
head,FBgn0261596,793,0.35864517,52,8,4,1,1,3
head,FBgn0261597,768,0.341306301,56,8,4,1,1,3
head,FBgn0261599,931,0.361561024,13,8,4,1,1,3
head,FBgn0261602,625,0.345627436,56,8,4,1,1,3
